date,pe_ratio
01/09/1916,7.076023392
01/10/1916,7.018284107
01/11/1916,6.917344173
01/12/1916,6.405228758
01/01/1917,6.34194831
01/02/1917,6.068548387
01/03/1917,6.341961853
01/04/1917,6.337249482
01/05/1917,6.213183731
01/06/1917,6.434163701
01/07/1917,6.351156069
01/08/1917,6.258253852
01/09/1917,6.046165302
01/10/1917,5.809379728
01/11/1917,5.411222137
01/12/1917,5.3125
01/01/1918,5.74044586
01/02/1918,6.030844156
01/03/1918,6.026490066
01/04/1918,6.094674556
01/05/1918,6.419327006
01/06/1918,6.563876652
01/07/1918,6.759675968
01/08/1918,6.973321067
01/09/1918,7.093132643
01/10/1918,7.572254335
01/11/1918,7.948717949
01/12/1918,7.97979798
01/01/1919,7.969543147
01/02/1919,8.040816327
01/03/1919,8.328205128
01/04/1919,8.649484536
01/05/1919,9.295336788
01/06/1919,9.59375
01/07/1919,9.958115183
01/08/1919,9.336842105
01/09/1919,9.534391534
01/10/1919,10.07446809
01/11/1919,9.828877005
01/12/1919,9.591397849
01/01/1920,9.606179286
01/02/1920,8.91775845
01/03/1920,9.660167131
01/04/1920,9.698883501
01/05/1920,9.203014387
01/06/1920,9.156069364
01/07/1920,9.260126434
01/08/1920,9.012213921
01/09/1920,9.453453453
01/10/1920,9.58987465
01/11/1920,9.225456339
01/12/1920,8.5125
01/01/1921,9.386138614
01/02/1921,9.874125874
01/03/1921,10.23048327
01/04/1921,10.96825397
01/05/1921,12.11914894
01/06/1921,12.01834862
01/07/1921,12.99502488
01/08/1921,14.02173913
01/09/1921,15.83233533
01/10/1921,17.86666667
01/11/1921,21.23308271
01/12/1921,25.20689655
01/01/1922,22.57964739
01/02/1922,20.91393328
01/03/1922,19.84615385
01/04/1922,19.39522797
01/05/1922,18.6774688
01/06/1922,17.24489796
01/07/1922,16.2621823
01/08/1922,15.86132567
01/09/1922,15.3559322
01/10/1922,14.85640943
01/11/1922,13.40033501
01/12/1922,12.72463768
01/01/1923,12.46149538
01/02/1923,12.56941623
01/03/1923,12.36721311
01/04/1923,11.56730647
01/05/1923,10.69314258
01/06/1923,9.988023952
01/07/1923,9.380819367
01/08/1923,9.170157364
01/09/1923,8.980716253
01/10/1923,8.618654073
01/11/1923,8.652437748
01/12/1923,8.724489796
01/01/1924,9.048985448
01/02/1924,9.12833179
01/03/1924,8.992248062
01/04/1924,8.823834735
01/05/1924,8.830275229
01/06/1924,9.036649215
01/07/1924,9.497265461
